id,raw_citation,raw_target,record_type,resolution_notes,resolution_reason,resolution_state,resolved_target,review_state,source_anchor,source_section,target_kind
ibc2018:cross-reference:0d1f3a7b10021177b9a9f4b5,Section 1015,1015,internal_cross_reference,,section_heading_prefix,resolved,1015,provisional,"{""appendix"":null,""bbox"":[60.011,584.562,305.849,596.906],""chapter"":""10"",""line_id"":""poppler-line:126a3ab9b1688ee4f969"",""observed_text_sha256"":""c7bc546c8c5ff67aa0c2d524e3e060f9613ba9c933c83b8309709e747a3977ea"",""pdf_page"":306,""printed_page"":""279""}",1011.13,section
ibc2018:cross-reference:06c0128415b29c964db86d7b,Section 1015,1015,internal_cross_reference,,section_heading_prefix,resolved,1015,provisional,"{""appendix"":null,""bbox"":[60.011,595.629,306.574,607.973],""chapter"":""10"",""line_id"":""poppler-line:9a96eab59628372a37c4"",""observed_text_sha256"":""9a7de5231ce3b0bbb9471ac79f28aefc3a02ffc20aa0ae3aae324f760b25e44f"",""pdf_page"":306,""printed_page"":""279""}",1011.13,section
ibc2018:cross-reference:153bc9985d5c8fb5736a71e9,Section 306.5,306.5,internal_cross_reference,,section_target_not_indexed,unresolved,,provisional,"{""appendix"":null,""bbox"":[326.056,597.909,571.257,610.253],""chapter"":""10"",""line_id"":""poppler-line:ee21c8741b9ef6c0c3e5"",""observed_text_sha256"":""d8e9b9d1cf851c271709c8944ae33623cfaab9ae5f25d576f21e76c3248ef3ee"",""pdf_page"":306,""printed_page"":""279""}",1011.16,section
ibc2018:cross-reference:f428c693f811e59d5daeb9c2,Section 1015,1015,internal_cross_reference,,section_heading_prefix,resolved,1015,provisional,"{""appendix"":null,""bbox"":[60.011,639.508,114.335,651.851],""chapter"":""10"",""line_id"":""poppler-line:5d70586ec5c450f66ab1"",""observed_text_sha256"":""94ece57280adb77ce9cd1772dbdb2ff984079fe50fb178c6b93afa70431a6720"",""pdf_page"":306,""printed_page"":""279""}",1011.13,section
ibc2018:cross-reference:0f1871b4d32ff339d01c8b27,Sections 1012.6,1012.6,internal_cross_reference,,preserved_resolved_target,resolved,1012.6,provisional,"{""appendix"":null,""bbox"":[305.975,75.53,551.961,87.873],""chapter"":""10"",""line_id"":""poppler-line:9e8a45cdf0b16ec6de17"",""observed_text_sha256"":""b85e2c98e45fa1509822c165495d8656455a2562ae7b0b257707449413c261c2"",""pdf_page"":307,""printed_page"":""280""}",1011.16,section
ibc2018:cross-reference:1759a3eac8437c911d36b846,Section 1011.12,1011.12,internal_cross_reference,,preserved_resolved_target,resolved,1011.12,provisional,"{""appendix"":null,""bbox"":[63.947,111.552,263.076,123.895],""chapter"":""10"",""line_id"":""poppler-line:e7f1d556a4cdca4eecff"",""observed_text_sha256"":""09b27fd7943a17db75cc6a93f3a57eba09907e48769e0c478fd0e38d08d27429"",""pdf_page"":307,""printed_page"":""280""}",1011.14,section
ibc2018:cross-reference:95ddd78d15e05fe5fc5678e6,Section 306.5,306.5,internal_cross_reference,,section_target_not_indexed,unresolved,,provisional,"{""appendix"":null,""bbox"":[63.947,136.617,286.373,148.961],""chapter"":""10"",""line_id"":""poppler-line:81479e28e93a4a16029e"",""observed_text_sha256"":""723f03d73e7905189c317555592dc9524e2e72d19742be39d3713df80d20737a"",""pdf_page"":307,""printed_page"":""280""}",1011.14,section
ibc2018:cross-reference:5a5eeb43ab948e720d295029,SECTION 1012,1012,internal_cross_reference,,section_heading_prefix,resolved,1012,provisional,"{""appendix"":null,""bbox"":[128.244,174.427,197.316,193.865],""chapter"":""10"",""line_id"":""poppler-line:b744b3cfaf07238f5f82"",""observed_text_sha256"":""4f15e16b6c172a0e5df6d2b8639515543eb27da9bf33e60b6d5d1d62b40fc6ab"",""pdf_page"":307,""printed_page"":""280""}",1011.14,section
ibc2018:cross-reference:d24f82d55f13366d8724e718,Section 1107,1107,internal_cross_reference,,section_heading_prefix,resolved,1107,provisional,"{""appendix"":null,""bbox"":[354.114,233.56,551.97,245.904],""chapter"":""10"",""line_id"":""poppler-line:084ba715717d39593518"",""observed_text_sha256"":""bb06e38c71ce29ab02ff2fa89af2a279bf434b351812a96f7f6a50112224d920"",""pdf_page"":307,""printed_page"":""280""}",1012.6.3,section
ibc2018:cross-reference:c14ed5b849e88185488afcdb,Section 1029,1029,internal_cross_reference,,section_heading_prefix,resolved,1029,provisional,"{""appendix"":null,""bbox"":[76.065,254.587,273.65,266.931],""chapter"":""10"",""line_id"":""poppler-line:720020203980f871eb38"",""observed_text_sha256"":""cffb24cb3e70a6c6777910d09560c09c00933dd5fd92753f2a3268e64618e1c1"",""pdf_page"":307,""printed_page"":""280""}",1012.1,section
ibc2018:cross-reference:ca92b359ea8893ce86d457b8,Section 1107,1107,internal_cross_reference,,section_heading_prefix,resolved,1107,provisional,"{""appendix"":null,""bbox"":[329.989,385.56,551.658,397.904],""chapter"":""10"",""line_id"":""poppler-line:698b6bf7c2098ee4bfb7"",""observed_text_sha256"":""fdbfed67fd283535418f9a5de7f60fa981ca30a82b1dac834854ee05add3fadc"",""pdf_page"":307,""printed_page"":""280""}",1012.6.4,section
ibc2018:cross-reference:6d15fd51ca6cb8733949d468,Sections 1012.5,1012.5,internal_cross_reference,,preserved_resolved_target,resolved,1012.5,provisional,"{""appendix"":null,""bbox"":[40.099,481.563,285.045,493.907],""chapter"":""10"",""line_id"":""poppler-line:820746cc126550d40c79"",""observed_text_sha256"":""f9c3e050cefcb592f29f14a9a51d996fe567702161ff876eef46a97e4fd27521"",""pdf_page"":307,""printed_page"":""280""}",1012.5,section
ibc2018:cross-reference:b6f3f8108ee8c45161229764,Section 1020.2,1020.2,internal_cross_reference,,preserved_resolved_target,resolved,1020.2,provisional,"{""appendix"":null,""bbox"":[52.051,528.485,285.404,540.829],""chapter"":""10"",""line_id"":""poppler-line:9783eeeed16e60b41aa5"",""observed_text_sha256"":""2fecdb001e402fa466af2fe1576e313b812e829c31cbc45665d0e73981ac0c62"",""pdf_page"":307,""printed_page"":""280""}",1012.5.1,section
ibc2018:cross-reference:6f6f43848ea32664ac0b2ec1,Section 1014,1014,internal_cross_reference,,section_heading_prefix,resolved,1014,provisional,"{""appendix"":null,""bbox"":[305.975,587.581,413.198,599.924],""chapter"":""10"",""line_id"":""poppler-line:92b8e04804ccfee0f824"",""observed_text_sha256"":""092ffcc98a957d3de3b812d78a185433ce24a590a0e49c46eef4c42320365a1a"",""pdf_page"":307,""printed_page"":""280""}",1012.8,section
ibc2018:cross-reference:86b79e9bb3f7b263851118bc,Section 1015,1015,internal_cross_reference,,section_heading_prefix,resolved,1015,provisional,"{""appendix"":null,""bbox"":[305.975,612.536,551.86,624.879],""chapter"":""10"",""line_id"":""poppler-line:a446d1cc51599db9f0d3"",""observed_text_sha256"":""a0ff838745e0cd674d877bbbd72d989e3efc599578b7e83d0201233ba092614f"",""pdf_page"":307,""printed_page"":""280""}",1012.9,section
ibc2018:cross-reference:ce6c3262f20c84abdabbd312,Section 1015,1015,internal_cross_reference,,section_heading_prefix,resolved,1015,provisional,"{""appendix"":null,""bbox"":[305.975,623.602,360.298,635.946],""chapter"":""10"",""line_id"":""poppler-line:594f8160e63145c2ef5d"",""observed_text_sha256"":""94ece57280adb77ce9cd1772dbdb2ff984079fe50fb178c6b93afa70431a6720"",""pdf_page"":307,""printed_page"":""280""}",1012.9,section
