candidate_kind,disposition,id,normalized_record_id,parser_confidence,record_type,review_state,source_anchor
table_candidate,merged_continuation_or_repeat,ibc2018:detection:113a26f80c43963c6fa898db,ibc2018:table:4e0b42c6a58c2c90f421479c,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[262.965,71.297,369.589,86.753],""chapter"":""7"",""line_id"":""poppler-line:7eb211405640fecef822"",""observed_text_sha256"":""2800182be89ffacd98290fc339aab1348832e11ba3c9a64656a25e48064f9803"",""pdf_page"":192,""printed_page"":""165""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:910e7d017fa06f9db2bef001,ibc2018:table:4e0b42c6a58c2c90f421479c,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[242.6,70.855,347.105,86.312],""chapter"":""7"",""line_id"":""poppler-line:9dbdbbeef821dbc8842d"",""observed_text_sha256"":""ef8b008da7b536d3872b16a26affc653d6adc659ea9da5d12e25f282a83e8cd0"",""pdf_page"":193,""printed_page"":""166""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:438eb0f0bb876ef6813c4e7f,ibc2018:table:4e0b42c6a58c2c90f421479c,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[262.796,71.637,367.358,87.093],""chapter"":""7"",""line_id"":""poppler-line:810eb963094d1dad66ad"",""observed_text_sha256"":""ef8b008da7b536d3872b16a26affc653d6adc659ea9da5d12e25f282a83e8cd0"",""pdf_page"":194,""printed_page"":""167""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:38467594989020df716d1667,ibc2018:table:4e0b42c6a58c2c90f421479c,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[242.95,70.855,347.455,86.312],""chapter"":""7"",""line_id"":""poppler-line:072cd2e2a128c9d786d1"",""observed_text_sha256"":""ef8b008da7b536d3872b16a26affc653d6adc659ea9da5d12e25f282a83e8cd0"",""pdf_page"":195,""printed_page"":""168""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:7bfa71ceb4ed772f3cea226f,ibc2018:table:4e0b42c6a58c2c90f421479c,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[263.531,71.071,368.036,86.527],""chapter"":""7"",""line_id"":""poppler-line:7979073716a78dac37d9"",""observed_text_sha256"":""ef8b008da7b536d3872b16a26affc653d6adc659ea9da5d12e25f282a83e8cd0"",""pdf_page"":196,""printed_page"":""169""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:8153c83bd06521c8417e38e3,ibc2018:table:4e0b42c6a58c2c90f421479c,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[242.85,71.955,347.355,87.412],""chapter"":""7"",""line_id"":""poppler-line:b8e7981724c24dbba002"",""observed_text_sha256"":""ef8b008da7b536d3872b16a26affc653d6adc659ea9da5d12e25f282a83e8cd0"",""pdf_page"":197,""printed_page"":""170""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:01b7eb81509f50dbb10b2e10,ibc2018:table:4e0b42c6a58c2c90f421479c,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[263.927,71.75,368.432,87.206],""chapter"":""7"",""line_id"":""poppler-line:39f89d15c24861810847"",""observed_text_sha256"":""ef8b008da7b536d3872b16a26affc653d6adc659ea9da5d12e25f282a83e8cd0"",""pdf_page"":198,""printed_page"":""171""}"
table_candidate,accepted,ibc2018:detection:69388080f0d97442f95cb3fd,ibc2018:table:e6179782d733a4ca524502be,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[286.219,247.033,344.616,262.49],""chapter"":""7"",""line_id"":""poppler-line:d7155c7fe1ffe3e57377"",""observed_text_sha256"":""5f558fd6a2224fc2c7d19e9fca344952621e019ea3d982d8f9dccd4ccd44bf57"",""pdf_page"":198,""printed_page"":""171""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:53e489c5339c86befaf9fb62,ibc2018:table:e6179782d733a4ca524502be,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[243.35,71.605,347.799,87.062],""chapter"":""7"",""line_id"":""poppler-line:004fb1ee19d361229597"",""observed_text_sha256"":""1adb909a77dcfa401e1725d3ba91c7c57742b4c74fe55f87cd6ba44818024694"",""pdf_page"":199,""printed_page"":""172""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:69012be5c505f029b81c06b3,ibc2018:table:e6179782d733a4ca524502be,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[263.814,71.919,368.32,87.375],""chapter"":""7"",""line_id"":""poppler-line:20df40e741a56795f838"",""observed_text_sha256"":""1adb909a77dcfa401e1725d3ba91c7c57742b4c74fe55f87cd6ba44818024694"",""pdf_page"":200,""printed_page"":""173""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:a990204e9bfb02274751ff38,ibc2018:table:e6179782d733a4ca524502be,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[243.55,71.955,348.055,87.412],""chapter"":""7"",""line_id"":""poppler-line:231bd12cdefc6d03b708"",""observed_text_sha256"":""1adb909a77dcfa401e1725d3ba91c7c57742b4c74fe55f87cd6ba44818024694"",""pdf_page"":201,""printed_page"":""174""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:7cfb5c1e993602985ecd130d,ibc2018:table:e6179782d733a4ca524502be,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[264.889,71.523,369.395,86.979],""chapter"":""7"",""line_id"":""poppler-line:dad2c7fd85361ce23c5c"",""observed_text_sha256"":""1adb909a77dcfa401e1725d3ba91c7c57742b4c74fe55f87cd6ba44818024694"",""pdf_page"":202,""printed_page"":""175""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:d360e8e9e3e20b9d5cd36847,ibc2018:table:e6179782d733a4ca524502be,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[244.05,71.355,348.555,86.812],""chapter"":""7"",""line_id"":""poppler-line:1630349fef820da174f0"",""observed_text_sha256"":""1adb909a77dcfa401e1725d3ba91c7c57742b4c74fe55f87cd6ba44818024694"",""pdf_page"":203,""printed_page"":""176""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:b61fc547338183f95a9f7c86,ibc2018:table:e6179782d733a4ca524502be,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[263.531,71.41,368.037,86.866],""chapter"":""7"",""line_id"":""poppler-line:aba679f3d19eca533bf7"",""observed_text_sha256"":""1adb909a77dcfa401e1725d3ba91c7c57742b4c74fe55f87cd6ba44818024694"",""pdf_page"":204,""printed_page"":""177""}"
